Número de Pago,Balance Inicial,Pago Programado,Pago del Principal,Pago de Intereses,Balance Final
214,57328167.00106383,2460308.993684441,1839253.8511729161,621055.1425115247,55488913.149890915
215,55488913.149890915,2460308.993684441,1859179.1012272893,601129.8924571516,53629734.04866362
216,53629734.04866362,2460308.993684441,1879320.2081572516,580988.7855271891,51750413.840506375
217,51750413.840506375,2460308.993684441,1899679.5104122884,560629.4832721524,49850734.330094084
218,49850734.330094084,2460308.993684441,1920259.3717750884,540049.6219093525,47930474.95831899
219,47930474.95831899,2460308.993684441,1941062.1816359852,519246.8120484557,45989412.77668301
220,45989412.77668301,2460308.993684441,1962090.355270375,498218.6384140659,44027322.42141263
221,44027322.42141263,2460308.993684441,1983346.3341191374,476962.6595653035,42043976.08729349
222,42043976.08729349,2460308.993684441,2004832.5860720947,455476.4076123461,40039143.501221396
223,40039143.501221396,2460308.993684441,2026551.6057545424,433757.3879298984,38012591.89546686
224,38012591.89546686,2460308.993684441,2048505.9148168834,411803.0788675576,35964085.98064997
225,35964085.98064997,2460308.993684441,2070698.0622273996,389610.9314570413,33893387.91842257
226,33893387.91842257,2460308.993684441,2093130.6245681965,367178.3691162445,31800257.293854374
227,31800257.293854374,2460308.993684441,2115806.206334352,344502.787350089,29684451.087520022
228,29684451.087520022,2460308.993684441,2138727.440236307,321581.5534481335,27545723.647283714
229,27545723.647283714,2460308.993684441,2161896.9875055337,298412.0061789069,25383826.65977818
230,25383826.65977818,2460308.993684441,2185317.5382035105,274991.4554809303,23198509.12157467
231,23198509.12157467,2460308.993684441,2208991.8115340485,251317.18215039224,20989517.310040623
232,20989517.310040623,2460308.993684441,2232922.556159001,227386.43752544007,18756594.753881622
233,18756594.753881622,2460308.993684441,2257112.55051739,203196.4431670509,16499482.203364233
234,16499482.203364233,2460308.993684441,2281564.603147995,178744.39053644583,14217917.600216238
235,14217917.600216238,2460308.993684441,2306281.5530154314,154027.44066900923,11911636.047200806
236,11911636.047200806,2460308.993684441,2331266.2698397655,129042.72384467539,9580369.777361041
237,9580369.777361041,2460308.993684441,2356521.654429696,103787.3392547446,7223848.122931344
238,7223848.122931344,2460308.993684441,2382050.6390193515,78258.35466508956,4841797.483911993
239,4841797.483911993,2460308.993684441,2407856.1876087277,52452.80607571325,2433941.2963032653
240,2433941.2963032653,2460308.993684441,2433941.296307822,26367.697376618704,-4.556961357593536e-06
